Var1	Var2	Var3	Var4	Var5	Var6	y
1	0	0	0	0	1	0	0
2	1	2	3	1	0	1	0
3	1	2	1	2	2	1	0
4	1	3	1	0	0	1	1
5	1	0	1	2	0	0	0
6	1	2	1	3	0	2	0
7	1	2	1	1	2	0	0
8	0	1	0	3	0	1	0
9	1	0	3	3	1	1	0
10	2	0	1	0	1	2	0
11	1	1	1	1	0	0	0
12	1	0	1	1	3	0	0
13	0	1	0	1	1	0	0
14	1	0	0	2	1	0	0
15	3	2	3	2	0	1	0
16	1	0	1	3	3	1	0
17	0	0	0	2	0	0	0
18	1	3	1	1	0	2	1
19	0	1	2	1	1	1	0
20	3	1	1	0	0	1	0
21	0	0	0	0	0	3	0
22	2	1	0	1	2	0	0
23	1	0	0	0	2	1	0
24	3	1	3	0	0	1	0
25	0	1	2	0	0	0	0
26	2	0	1	1	0	0	0
27	2	2	2	3	0	0	0
28	0	1	1	0	0	0	0
29	1	0	0	2	1	2	0
30	1	0	2	2	0	3	0
31	1	0	3	3	0	0	0
32	1	1	0	0	2	0	0
33	1	0	0	0	2	0	0
34	1	0	0	0	0	0	0
35	1	0	0	1	0	1	0
36	2	2	2	0	0	1	0
37	0	2	2	0	1	1	0
38	1	2	0	0	1	2	0
39	2	1	1	0	2	0	0
40	0	1	0	1	0	2	0
41	0	1	3	0	2	2	0
42	0	0	3	1	1	1	0
43	1	0	1	1	1	3	0
44	3	2	1	1	0	1	0
45	0	0	0	0	1	0	0
46	1	1	0	0	2	0	0
47	0	1	1	3	1	1	0
48	2	2	0	0	1	1	0
49	2	0	1	0	2	1	0
50	1	0	0	1	1	1	0
51	1	0	1	0	2	1	0
52	0	2	1	2	0	1	0
53	3	2	1	1	1	0	0
54	3	1	1	2	2	3	0
55	1	2	2	0	2	1	0
56	3	1	0	0	0	0	0
57	3	0	0	0	1	1	0
58	1	2	0	2	1	1	0
59	1	0	2	3	3	1	0
60	0	2	0	0	2	1	0
61	0	3	0	2	1	2	0
62	0	2	3	1	1	0	0
63	1	0	0	0	1	1	0
64	0	2	2	2	1	0	0
65	2	1	1	1	1	1	0
66	3	1	0	0	0	0	0
67	1	1	1	0	0	1	0
68	0	1	0	1	1	3	0
69	2	1	1	1	1	2	0
70	3	1	2	2	1	0	0
71	0	0	0	1	1	1	0
72	1	0	1	1	1	1	0
73	1	1	1	1	1	0	0
74	0	2	0	0	0	2	1
75	2	2	1	1	1	0	0
76	1	2	0	1	1	0	0
77	3	2	3	0	3	0	0
78	0	1	1	1	1	1	0
79	0	0	0	0	0	1	0
80	1	0	1	3	3	1	0
81	2	0	1	0	0	1	0
82	0	3	1	0	0	1	1
83	0	2	0	0	2	2	0
84	1	0	2	1	1	0	0
85	1	0	1	2	1	0	0
86	0	2	2	0	0	3	0
87	2	1	2	2	1	0	0
88	2	2	1	0	1	2	0
89	0	0	1	0	1	1	0
90	1	1	0	1	1	1	0
91	0	0	2	1	1	2	0
92	0	1	0	3	2	0	0
93	0	0	3	0	2	2	0
94	0	1	1	0	0	0	1
95	2	3	1	2	0	0	0
96	1	0	2	2	1	1	0
97	0	1	2	1	0	0	0
98	0	0	3	2	0	0	0
99	2	2	2	1	1	2	0
100	1	2	2	1	0	1	0
101	2	1	1	0	1	3	0
102	1	0	0	2	0	0	0
103	0	0	0	1	1	0	0
104	0	0	3	0	0	0	0
105	2	1	2	1	0	1	0
